sample cellID x y
s10c5 106_4 341.0 216.0
s10c5 108_5 303.0 209.0
s10c5 108_6 290.0 209.0
s10c5 119_2 291.0 224.0
s10c5 119_3 281.0 212.0
s10c5 121_1 313.0 213.0
s10c5 121_2 327.0 201.0
s10c5 154_5 333.0 240.0
s10c5 154_6 341.0 224.0
s10c5 157_7 321.0 203.0
s10c5 157_8 305.0 202.0
s10c5 157_9 273.0 201.0
s10c5 157_10 288.0 196.0
s10c5 164_2 348.0 203.0
s10c5 164_3 335.0 188.0
s10c5 165_1 333.0 217.0
s10c5 165_2 325.0 216.0
s10c5 168_5 313.0 233.0
s10c5 168_6 300.0 226.0
s10c5 174_7 296.0 206.0
s10c5 174_8 278.0 205.0
s10c5 201_3 359.0 213.0
s10c5 201_4 361.0 204.0
s10c5 201_10 339.0 254.0
s10c5 201_11 333.0 240.0
s10c5 202_5 328.0 190.0
s10c5 202_6 342.0 183.0
s10c5 206_2 310.0 224.0
s10c5 206_3 322.0 213.0
s10c5 208_1 342.0 225.0
s10c5 208_2 358.0 224.0
s10c5 208_16 337.0 204.0
s10c5 208_17 345.0 193.0
s10c5 213_9 326.0 232.0
s10c5 213_10 319.0 234.0
s10c5 213_16 354.0 240.0
s10c5 213_17 368.0 233.0
s10c5 214_11 285.0 238.0
s10c5 214_12 292.0 221.0
s11c1 29_1 174.0 370.0
s11c1 29_2 183.0 365.0
s11c1 95_1 153.0 378.0
s11c1 95_2 171.0 369.0
s11c1 96_3 185.0 370.0
s11c1 96_4 193.0 360.0
s11c1 155_2 162.0 365.0
s11c1 155_3 150.0 363.0
s11c1 166_4 207.0 387.0
s11c1 166_5 193.0 372.0
s11c1 168_5 191.0 356.0
s11c1 168_6 203.0 345.0
s11c2 56_1 318.0 156.0
s11c2 56_2 314.0 145.0
s11c2 115_1 305.0 150.0
s11c2 115_2 320.0 143.0
s11c2 178_1 318.0 162.0
s11c2 178_2 318.0 148.0
s11c2 184_3 330.0 145.0
s11c2 184_4 318.0 132.0
s12c1 79_1 204.0 121.0
s12c1 79_2 191.0 107.0
s12c1 129_1 228.0 111.0
s12c1 129_2 249.0 103.0
s12c1 129_3 176.0 130.0
s12c1 129_4 184.0 107.0
s12c1 170_4 191.0 107.0
s12c1 170_5 191.0 97.0
s12c1 172_3 165.0 125.0
s12c1 172_4 165.0 110.0
s12c1 183_2 254.0 113.0
s12c1 183_3 270.0 107.0
s12c1 184_1 216.0 125.0
s12c1 184_2 226.0 114.0
s12c2 34_1 427.0 182.0
s12c2 34_2 414.0 182.0
s12c2 91_1 427.0 210.0
s12c2 91_2 453.0 217.0
s12c2 91_3 407.0 175.0
s12c2 91_4 401.0 158.0
s12c2 148_1 423.0 231.0
s12c2 148_2 436.0 224.0
s12c2 194_2 443.0 218.0
s12c2 194_3 433.0 212.0
s12c2 201_1 409.0 259.0
s12c2 201_2 415.0 243.0
s12c3 26_1 155.0 285.0
s12c3 26_2 147.0 281.0
s12c3 75_2 131.0 260.0
s12c3 75_3 121.0 251.0
s12c3 78_1 191.0 310.0
s12c3 78_2 201.0 296.0
s12c3 128_2 182.0 221.0
s12c3 128_3 192.0 208.0
s12c3 135_1 178.0 399.0
s12c3 135_2 180.0 386.0
s12c3 136_5 133.0 236.0
s12c3 136_6 120.0 232.0
s12c3 185_2 159.0 237.0
s12c3 185_3 144.0 229.0
s12c3 186_4 129.0 238.0
s12c3 186_5 134.0 227.0
s12c3 204_1 174.0 392.0
s12c3 204_2 186.0 390.0
s12c4 45_2 170.0 399.0
s12c4 45_3 184.0 390.0
s12c4 54_1 180.0 416.0
s12c4 54_2 179.0 404.0
s12c4 92_3 169.0 410.0
s12c4 92_4 166.0 400.0
s12c4 92_5 199.0 400.0
s12c4 92_6 206.0 387.0
s12c4 107_1 166.0 428.0
s12c4 107_2 176.0 413.0
s12c4 137_6 200.0 384.0
s12c4 137_7 216.0 371.0
s12c4 139_5 188.0 410.0
s12c4 139_6 196.0 399.0
s12c4 140_4 165.0 386.0
s12c4 140_5 166.0 371.0
s12c4 152_3 160.0 424.0
s12c4 152_4 143.0 427.0
s12c4 153_2 178.0 409.0
s12c4 153_3 165.0 405.0
s12c4 154_1 166.0 435.0
s12c4 154_2 182.0 431.0
s12c4 183_10 205.0 401.0
s12c4 183_11 211.0 387.0
s12c4 184_9 209.0 440.0
s12c4 184_10 196.0 429.0
s12c4 187_13 190.0 376.0
s12c4 187_14 195.0 359.0
s12c4 188_8 164.0 374.0
s12c4 188_9 162.0 357.0
s12c4 189_16 230.0 372.0
s12c4 189_17 214.0 368.0
s12c4 191_7 167.0 394.0
s12c4 191_8 157.0 389.0
s12c4 196_2 191.0 449.0
s12c4 196_3 199.0 439.0
s12c4 197_1 157.0 442.0
s12c4 197_2 150.0 434.0
s12c4 199_6 159.0 412.0
s12c4 199_7 150.0 396.0
s12c4 204_8 181.0 437.0
s12c4 204_9 167.0 427.0
s12c4 210_5 188.0 417.0
s12c4 210_6 180.0 406.0
s13c1 24_2 187.0 210.0
s13c1 24_3 175.0 196.0
s13c1 28_1 161.0 242.0
s13c1 28_2 175.0 243.0
s13c1 68_3 184.0 225.0
s13c1 68_4 182.0 213.0
s13c1 75_5 173.0 200.0
s13c1 75_6 185.0 203.0
s13c1 76_2 178.0 257.0
s13c1 76_3 168.0 240.0
s13c1 77_1 140.0 243.0
s13c1 77_2 152.0 239.0
s13c1 117_6 174.0 244.0
s13c1 117_7 177.0 230.0
s13c1 118_5 173.0 263.0
s13c1 118_6 165.0 247.0
s13c1 122_10 178.0 214.0
s13c1 122_11 188.0 212.0
s13c1 123_9 166.0 217.0
s13c1 123_10 159.0 201.0
s13c1 127_1 115.0 256.0
s13c1 127_2 115.0 234.0
s13c1 131_3 125.0 249.0
s13c1 131_4 135.0 232.0
s13c1 132_6 154.0 232.0
s13c1 132_7 158.0 221.0
s13c1 141_5 173.0 279.0
s13c1 141_6 174.0 262.0
s13c1 156_10 135.0 263.0
s13c1 156_11 155.0 249.0
s13c1 157_9 157.0 294.0
s13c1 157_10 168.0 280.0
s13c1 159_13 138.0 281.0
s13c1 159_14 155.0 272.0
s13c1 164_15 164.0 235.0
s13c1 164_16 180.0 234.0
s13c1 164_18 146.0 206.0
s13c1 164_19 159.0 201.0
s13c1 164_21 203.0 229.0
s13c1 164_22 206.0 212.0
s13c1 171_17 158.0 222.0
s13c1 171_18 170.0 215.0
s13c1 175_1 106.0 254.0
s13c1 175_2 92.0 252.0
s13c1 178_3 98.0 226.0
s13c1 178_4 112.0 220.0
s13c1 181_9 136.0 232.0
s13c1 181_10 136.0 219.0
s13c1 186_6 102.0 208.0
s13c1 186_7 115.0 199.0
s13c1 186_12 176.0 193.0
s13c1 186_13 180.0 185.0
s13c1 188_5 122.0 247.0
s13c1 188_6 106.0 234.0
s13c1 189_17 126.0 279.0
s13c1 189_18 126.0 266.0
s13c1 192_9 185.0 303.0
s13c1 192_10 183.0 288.0
s13c1 192_16 168.0 307.0
s13c1 192_17 160.0 297.0
s13c1 192_18 166.0 285.0
s13c1 192_19 174.0 272.0
s13c1 192_22 149.0 264.0
s13c1 192_23 137.0 249.0
s13c1 193_24 145.0 292.0
s13c1 193_25 129.0 284.0
s13c1 195_11 177.0 260.0
s13c1 195_12 162.0 252.0
s13c1 197_27 155.0 280.0
s13c1 197_28 164.0 268.0
s13c1 198_29 143.0 240.0
s13c1 198_30 164.0 241.0
s13c1 198_38 200.0 216.0
s13c1 198_39 200.0 199.0
s13c1 199_37 203.0 247.0
s13c1 199_38 203.0 230.0
s13c1 200_31 187.0 244.0
s13c1 200_32 174.0 232.0
s13c1 202_37 180.0 219.0
s13c1 202_38 178.0 204.0
s13c1 203_35 133.0 206.0
s13c1 203_36 136.0 198.0
s13c1 206_34 159.0 225.0
s13c1 206_35 168.0 213.0
s13c1 212_33 137.0 223.0
s13c1 212_34 147.0 212.0
s13c1 212_39 151.0 195.0
s13c1 212_40 164.0 187.0
s13c2 43_1 236.0 346.0
s13c2 43_2 239.0 338.0
s13c2 43_3 247.0 303.0
s13c2 43_4 245.0 291.0
s13c2 84_4 230.0 280.0
s13c2 84_5 245.0 274.0
s13c2 88_1 246.0 364.0
s13c2 88_2 236.0 350.0
s13c2 89_3 228.0 321.0
s13c2 89_4 236.0 306.0
s13c2 90_5 238.0 294.0
s13c2 90_6 241.0 284.0
s13c2 134_1 229.0 380.0
s13c2 134_2 227.0 372.0
s13c2 134_4 230.0 325.0
s13c2 134_5 233.0 317.0
s13c2 135_6 209.0 331.0
s13c2 135_7 217.0 317.0
s13c2 138_3 220.0 356.0
s13c2 138_4 238.0 352.0
s13c2 141_9 203.0 299.0
s13c2 141_10 213.0 296.0
s13c2 143_11 239.0 290.0
s13c2 143_12 248.0 284.0
s13c2 150_14 250.0 259.0
s13c2 150_15 254.0 252.0
s13c2 172_11 266.0 299.0
s13c2 172_12 264.0 286.0
s13c2 177_2 215.0 392.0
s13c2 177_3 220.0 375.0
s13c2 178_7 234.0 289.0
s13c2 178_8 241.0 285.0
s13c2 179_6 224.0 327.0
s13c2 179_7 213.0 326.0
s13c2 181_10 185.0 338.0
s13c2 181_11 192.0 326.0
s13c2 181_12 211.0 310.0
s13c2 181_13 221.0 300.0
s13c2 182_5 236.0 360.0
s13c2 182_6 234.0 338.0
s13c2 183_4 206.0 369.0
s13c2 183_5 200.0 356.0
s13c2 193_20 283.0 271.0
s13c2 193_21 290.0 259.0
s13c2 197_16 245.0 312.0
s13c2 197_17 254.0 307.0
s13c2 204_19 261.0 299.0
s13c2 204_20 272.0 298.0
s13c2 210_17 283.0 319.0
s13c2 210_18 287.0 312.0
s13c2 211_19 292.0 305.0
s13c2 211_20 302.0 301.0
s13c3 42_1 325.0 241.0
s13c3 42_2 320.0 231.0
s13c3 86_1 341.0 244.0
s13c3 86_2 356.0 231.0
s13c3 106_3 300.0 246.0
s13c3 106_4 308.0 237.0
s13c3 132_2 365.0 251.0
s13c3 132_3 381.0 241.0
s13c3 138_1 320.0 273.0
s13c3 138_2 330.0 264.0
s13c3 150_6 335.0 215.0
s13c3 150_7 318.0 212.0
s13c3 176_5 297.0 256.0
s13c3 176_6 280.0 254.0
s13c3 177_3 366.0 272.0
s13c3 177_4 372.0 260.0
s13c3 182_5 395.0 244.0
s13c3 182_6 387.0 236.0
s13c3 185_1 302.0 282.0
s13c3 185_2 310.0 273.0
s13c3 191_3 332.0 251.0
s13c3 191_4 340.0 247.0
s13c4 33_2 370.0 159.0
s13c4 33_3 387.0 146.0
s13c4 37_1 411.0 181.0
s13c4 37_2 398.0 185.0
s13c4 79_3 380.0 170.0
s13c4 79_4 369.0 175.0
s13c4 83_1 431.0 166.0
s13c4 83_2 416.0 165.0
s13c4 84_6 395.0 149.0
s13c4 84_7 414.0 149.0
s13c4 106_3 362.0 183.0
s13c4 106_4 373.0 174.0
s13c4 137_1 462.0 155.0
s13c4 137_2 453.0 139.0
s13c4 139_3 401.0 153.0
s13c4 139_4 406.0 146.0
s13c4 140_10 411.0 161.0
s13c4 140_11 421.0 152.0
s13c4 142_9 369.0 154.0
s13c4 142_10 382.0 146.0
s13c4 153_8 365.0 190.0
s13c4 153_9 351.0 180.0
s13c4 159_7 359.0 168.0
s13c4 159_8 358.0 155.0
s13c4 168_5 384.0 207.0
s13c4 168_6 373.0 201.0
s13c4 181_1 466.0 158.0
s13c4 181_2 446.0 152.0
s13c4 192_3 441.0 151.0
s13c4 192_4 453.0 140.0
s13c4 194_16 416.0 161.0
s13c4 194_17 420.0 153.0
s13c4 195_6 401.0 140.0
s13c4 195_7 416.0 130.0
s13c4 199_5 379.0 188.0
s13c4 199_6 356.0 185.0
s13c4 204_16 368.0 163.0
s13c4 204_17 385.0 160.0
s13c4 204_18 410.0 183.0
s13c4 204_19 398.0 179.0
s13c4 205_14 323.0 192.0
s13c4 205_15 307.0 179.0
s13c4 212_16 316.0 185.0
s13c4 212_17 328.0 176.0
s13c4 216_10 351.0 207.0
s13c4 216_11 356.0 200.0
s14c1 43_1 74.0 377.0
s14c1 43_2 75.0 362.0
s14c1 93_2 65.0 343.0
s14c1 93_3 48.0 337.0
s14c1 97_1 81.0 385.0
s14c1 97_2 67.0 383.0
s14c1 155_1 87.0 373.0
s14c1 155_2 104.0 369.0
s14c1 156_3 39.0 397.0
s14c1 156_4 43.0 381.0
s14c1 157_5 87.0 347.0
s14c1 157_6 78.0 340.0
s14c1 157_7 40.0 333.0
s14c1 157_8 36.0 317.0
s14c2 59_1 133.0 190.0
s14c2 59_2 134.0 175.0
s14c2 108_1 126.0 214.0
s14c2 108_2 120.0 204.0
s14c2 116_3 128.0 164.0
s14c2 116_4 145.0 155.0
s14c2 153_2 130.0 220.0
s14c2 153_3 118.0 212.0
s14c2 157_1 118.0 232.0
s14c2 157_2 132.0 229.0
s14c2 161_6 175.0 165.0
s14c2 161_7 160.0 155.0
s14c2 167_5 131.0 167.0
s14c2 167_6 125.0 158.0
s14c2 196_4 107.0 215.0
s14c2 196_5 106.0 208.0
s14c2 198_3 131.0 215.0
s14c2 198_4 128.0 207.0
s14c2 199_10 145.0 172.0
s14c2 199_11 151.0 158.0
s14c2 202_1 126.0 238.0
s14c2 202_2 117.0 226.0
s14c2 202_3 138.0 230.0
s14c2 202_4 142.0 215.0
s14c2 206_10 129.0 169.0
s14c2 206_11 114.0 167.0
s14c2 207_9 136.0 180.0
s14c2 207_10 148.0 181.0
s14c2 210_13 181.0 171.0
s14c2 210_14 185.0 157.0
s14c3 39_2 316.0 156.0
s14c3 39_3 307.0 153.0
s14c3 48_1 305.0 184.0
s14c3 48_2 314.0 172.0
s14c3 88_3 331.0 161.0
s14c3 88_4 322.0 157.0
s14c3 90_5 314.0 165.0
s14c3 90_6 303.0 152.0
s14c3 103_2 330.0 184.0
s14c3 103_3 328.0 172.0
s14c3 105_1 329.0 207.0
s14c3 105_2 313.0 198.0
s14c3 141_8 288.0 141.0
s14c3 141_9 291.0 136.0
s14c3 142_5 358.0 167.0
s14c3 142_6 366.0 156.0
s14c3 143_8 319.0 166.0
s14c3 143_9 322.0 157.0
s14c3 153_1 345.0 214.0
s14c3 153_2 352.0 202.0
s14c3 153_4 333.0 194.0
s14c3 153_5 337.0 182.0
s14c3 155_3 315.0 214.0
s14c3 155_4 315.0 196.0
s14c3 157_7 340.0 166.0
s14c3 157_8 327.0 160.0
s14c3 157_11 308.0 155.0
s14c3 157_12 313.0 148.0
s14c3 185_14 286.0 113.0
s14c3 185_15 303.0 109.0
s14c3 186_13 299.0 178.0
s14c3 186_14 298.0 169.0
s14c3 194_3 332.0 231.0
s14c3 194_4 318.0 225.0
s14c3 198_1 343.0 228.0
s14c3 198_2 333.0 222.0
s14c3 198_3 347.0 195.0
s14c3 198_4 360.0 184.0
s14c3 199_7 323.0 188.0
s14c3 199_8 329.0 175.0
s14c3 207_9 329.0 209.0
s14c3 207_10 326.0 196.0
s14c4 26_1 224.0 168.0
s14c4 26_2 224.0 158.0
s14c4 83_1 234.0 162.0
s14c4 83_2 215.0 159.0
s14c4 129_2 193.0 159.0
s14c4 129_3 211.0 154.0
s14c4 131_1 255.0 183.0
s14c4 131_2 240.0 176.0
s14c4 185_2 272.0 174.0
s14c4 185_3 261.0 171.0
s14c4 186_5 241.0 156.0
s14c4 186_6 233.0 149.0
s14c4 191_1 270.0 184.0
s14c4 191_2 283.0 171.0
s14c4 193_5 176.0 206.0
s14c4 193_6 185.0 199.0
s14c5 32_1 283.0 216.0
s14c5 32_2 288.0 205.0
s14c5 35_3 291.0 205.0
s14c5 35_4 297.0 196.0
s14c5 69_1 284.0 233.0
s14c5 69_2 285.0 219.0
s14c5 71_3 283.0 193.0
s14c5 71_4 275.0 180.0
s14c5 82_5 290.0 211.0
s14c5 82_6 282.0 195.0
s14c5 87_7 305.0 186.0
s14c5 87_8 297.0 173.0
s14c5 107_4 266.0 187.0
s14c5 107_5 259.0 173.0
s14c5 108_2 271.0 219.0
s14c5 108_3 276.0 208.0
s14c5 116_3 292.0 195.0
s14c5 116_4 285.0 181.0
s14c5 148_8 298.0 194.0
s14c5 148_9 311.0 185.0
s14c5 149_7 253.0 236.0
s14c5 149_8 274.0 232.0
s14c5 153_6 254.0 162.0
s14c5 153_7 247.0 153.0
s14c5 156_4 264.0 209.0
s14c5 156_5 258.0 195.0
s14c5 157_1 278.0 248.0
s14c5 157_2 282.0 235.0
s14c5 163_3 288.0 216.0
s14c5 163_4 296.0 205.0
s14c5 163_5 282.0 195.0
s14c5 163_6 277.0 182.0
s14c5 197_10 284.0 142.0
s14c5 197_11 270.0 147.0
s14c5 198_3 304.0 217.0
s14c5 198_4 295.0 198.0
s14c5 198_13 265.0 217.0
s14c5 198_14 255.0 209.0
s14c5 199_1 306.0 245.0
s14c5 199_2 296.0 231.0
s14c5 201_3 281.0 223.0
s14c5 201_4 271.0 215.0
s14c5 201_7 312.0 200.0
s14c5 201_8 306.0 198.0
s14c5 201_18 271.0 243.0
s14c5 201_19 264.0 230.0
s14c5 201_20 273.0 178.0
s14c5 201_21 269.0 168.0
s14c5 201_22 309.0 175.0
s14c5 201_23 308.0 166.0
s14c5 202_12 267.0 197.0
s14c5 202_13 275.0 196.0
s14c5 203_11 284.0 201.0
s14c5 203_12 277.0 200.0
s14c5 204_10 288.0 175.0
s14c5 204_11 285.0 165.0
s14c5 206_16 322.0 127.0
s14c5 206_17 312.0 113.0
s14c5 208_9 292.0 185.0
s14c5 208_10 281.0 182.0
s14c6 6_1 338.0 351.0
s14c6 6_2 327.0 347.0
s14c6 57_1 352.0 341.0
s14c6 57_2 345.0 336.0
s14c6 59_3 310.0 355.0
s14c6 59_4 302.0 344.0
s14c6 116_1 313.0 362.0
s14c6 116_2 314.0 347.0
s14c6 120_3 302.0 327.0
s14c6 120_4 289.0 316.0
s14c6 171_3 297.0 330.0
s14c6 171_4 312.0 321.0
s14c6 172_1 301.0 370.0
s14c6 172_2 313.0 364.0
s14c6 172_6 284.0 317.0
s14c6 172_7 293.0 301.0
s14c6 179_3 308.0 355.0
s14c6 179_4 326.0 348.0
s14c6 204_6 300.0 326.0
s14c6 204_7 307.0 313.0
s14c6 208_5 289.0 341.0
s14c6 208_6 294.0 331.0
s14c6 212_1 294.0 380.0
s14c6 212_2 305.0 368.0
s14c6 214_10 284.0 328.0
s14c6 214_11 295.0 319.0
s14c6 215_5 320.0 358.0
s14c6 215_6 326.0 340.0
s14c6 216_13 293.0 292.0
s14c6 216_14 312.0 290.0
s15c1 25_1 87.0 403.0
s15c1 25_2 82.0 394.0
s15c1 71_1 98.0 411.0
s15c1 71_2 81.0 408.0
s15c1 82_3 81.0 396.0
s15c1 82_4 98.0 396.0
s15c1 123_2 57.0 388.0
s15c1 123_3 63.0 383.0
s15c1 128_1 97.0 408.0
s15c1 128_2 89.0 400.0
s15c1 136_5 71.0 396.0
s15c1 136_6 81.0 384.0
s15c1 139_7 112.0 417.0
s15c1 139_8 112.0 408.0
s15c1 177_4 67.0 391.0
s15c1 177_5 69.0 380.0
s15c1 180_3 35.0 413.0
s15c1 180_4 27.0 402.0
s15c1 186_2 83.0 400.0
s15c1 186_3 89.0 394.0
s15c1 188_9 88.0 367.0
s15c1 188_10 86.0 354.0
s15c1 191_11 108.0 448.0
s15c1 191_12 119.0 432.0
s15c1 193_8 55.0 420.0
s15c1 193_9 76.0 414.0
s15c1 199_1 98.0 437.0
s15c1 199_2 98.0 423.0
s15c2 6_1 137.0 277.0
s15c2 6_2 144.0 267.0
s15c2 48_1 130.0 290.0
s15c2 48_2 123.0 279.0
s15c2 58_3 134.0 263.0
s15c2 58_4 140.0 251.0
s15c2 105_2 119.0 289.0
s15c2 105_3 132.0 281.0
s15c2 109_1 129.0 299.0
s15c2 109_2 135.0 287.0
s15c2 128_6 164.0 263.0
s15c2 128_7 154.0 252.0
s15c2 137_5 140.0 275.0
s15c2 137_6 139.0 266.0
s15c2 155_4 142.0 282.0
s15c2 155_5 132.0 273.0
s15c2 160_3 113.0 294.0
s15c2 160_4 118.0 279.0
s15c2 171_2 170.0 303.0
s15c2 171_3 158.0 289.0
s15c2 175_1 125.0 304.0
s15c2 175_2 112.0 299.0
s15c2 188_11 195.0 253.0
s15c2 188_12 195.0 245.0
s15c2 189_13 160.0 259.0
s15c2 189_14 156.0 241.0
s15c2 200_10 135.0 245.0
s15c2 200_11 119.0 235.0
s15c2 208_7 143.0 299.0
s15c2 208_8 150.0 291.0
s15c2 210_9 125.0 267.0
s15c2 210_10 120.0 262.0
s15c2 212_5 102.0 288.0
s15c2 212_6 115.0 284.0
s15c2 214_7 100.0 269.0
s15c2 214_8 109.0 258.0
s15c3 27_1 81.0 179.0
s15c3 27_2 71.0 171.0
s15c3 74_1 93.0 181.0
s15c3 74_2 81.0 178.0
s15c3 74_3 62.0 172.0
s15c3 74_4 78.0 166.0
s15c3 121_2 51.0 179.0
s15c3 121_3 67.0 172.0
s15c3 126_4 90.0 172.0
s15c3 126_5 76.0 164.0
s15c3 128_1 72.0 173.0
s15c3 128_2 63.0 165.0
s15c3 167_3 48.0 178.0
s15c3 167_4 46.0 170.0
s15c3 170_5 74.0 167.0
s15c3 170_6 63.0 166.0
s15c3 173_8 87.0 154.0
s15c3 173_9 76.0 151.0
s15c3 185_1 86.0 170.0
s15c3 185_2 82.0 161.0
s15c3 191_7 107.0 169.0
s15c3 191_8 96.0 158.0
s15c4 34_1 127.0 68.0
s15c4 34_2 136.0 63.0
s15c4 91_1 105.0 85.0
s15c4 91_2 120.0 76.0
s15c4 92_3 107.0 99.0
s15c4 92_4 123.0 95.0
s15c4 143_4 113.0 107.0
s15c4 143_5 129.0 102.0
s15c4 151_3 90.0 119.0
s15c4 151_4 85.0 106.0
s15c4 158_1 106.0 94.0
s15c4 158_2 95.0 89.0
s15c4 158_3 131.0 91.0
s15c4 158_4 124.0 83.0
s15c4 192_7 108.0 109.0
s15c4 192_8 122.0 102.0
s15c4 194_9 132.0 121.0
s15c4 194_10 145.0 111.0
s15c4 195_6 81.0 101.0
s15c4 195_7 67.0 99.0
s15c4 196_5 74.0 115.0
s15c4 196_6 88.0 112.0
s15c4 201_4 107.0 84.0
s15c4 201_5 111.0 76.0
s15c4 205_1 94.0 106.0
s15c4 205_2 87.0 97.0
s15c4 207_4 141.0 104.0
s15c4 207_5 131.0 92.0
s15c5 28_1 254.0 152.0
s15c5 28_2 264.0 139.0
s15c5 71_2 264.0 137.0
s15c5 71_3 268.0 129.0
s15c5 72_1 243.0 165.0
s15c5 72_2 233.0 156.0
s15c5 120_3 263.0 121.0
s15c5 120_4 280.0 108.0
s15c5 126_1 248.0 152.0
s15c5 126_2 258.0 143.0
s15c5 168_3 254.0 149.0
s15c5 168_4 256.0 137.0
s15c5 168_5 285.0 124.0
s15c5 168_6 271.0 112.0
s15c5 194_2 280.0 142.0
s15c5 194_3 260.0 140.0
s15c5 203_5 268.0 123.0
s15c5 203_6 256.0 116.0
s15c5 203_7 296.0 136.0
s15c5 203_8 303.0 121.0
s15c5 203_9 276.0 103.0
s15c5 203_10 256.0 102.0
s15c5 209_4 244.0 164.0
s15c5 209_5 255.0 153.0
