dataset method cellID true_time est_brlen
s20c6 withoutLoc 156_1 109.0 0.1714498045065238
s20c6 withoutLoc 157_6 53.0 0.3985708732744212
s20c6 withoutLoc 166_5 62.0 0.4416123271992446
s20c6 withoutLoc 176_10 130.0 0.5418124646400355
s20c6 withoutLoc 1_1 0 0.05268025782891314
s20c6 withoutLoc 201_1 45.0 0.3177718405172669
s20c6 withoutLoc 210_3 54.0 0.7405047750019743
s20c6 withoutLoc 216_1 15.0 0.20393085025900584
s20c6 withoutLoc 216_10 59.0 0.7448476394234821
s20c6 withoutLoc 216_11 59.0 0.3393659480482901
s20c6 withoutLoc 216_12 40.0 0.5177554922889581
s20c6 withoutLoc 216_13 40.0 0.05268025782891314
s20c6 withoutLoc 216_16 127.0 0.05268025782891314
s20c6 withoutLoc 216_19 127.0 4.605170185988091
s20c6 withoutLoc 216_2 15.0 0.42706432886820345
s20c6 withoutLoc 216_3 6.0 0.29203149791944955
s20c6 withoutLoc 216_4 6.0 0.05268025782891314
s20c6 withoutLoc 216_8 50.0 0.05268025782891314
s20c6 withoutLoc 216_9 50.0 0.7018265462704076
s20c6 withoutLoc 46_2 45.0 0.14441216333347165
s20c6 withoutLoc 47_1 46.0 0.05268025782891314
s20c6 withoutLoc 89_4 43.0 0.7548002155811191
s20c7 withoutLoc 177_5 176.0 0.05268025782902014
s20c7 withoutLoc 1_1 0 0.2056368205078571
s20c7 withoutLoc 216_1 215.0 0.710631393698226
s20c7 withoutLoc 216_4 39.0 0.9895964264259445
s20c7 withoutLoc 216_5 39.0 0.2964365847889516
s7c2 withoutLoc 124_1 49.0 1.1938455318284233
s7c2 withoutLoc 125_3 50.0 0.28147402593898974
s7c2 withoutLoc 164_2 40.0 0.052680257829420526
s7c2 withoutLoc 168_1 44.0 0.05268025782919087
s7c2 withoutLoc 179_7 54.0 0.8962404404492968
s7c2 withoutLoc 203_4 39.0 0.05268025782948104
s7c2 withoutLoc 213_1 45.0 0.05268025782947315
s7c2 withoutLoc 216_1 3.0 0.05268025782944852
s7c2 withoutLoc 216_11 37.0 0.05268025782927694
s7c2 withoutLoc 216_12 37.0 4.605170185988091
s7c2 withoutLoc 216_2 3.0 0.052680257828974154
s7c2 withoutLoc 216_4 48.0 0.05268025782896103
s7c2 withoutLoc 216_5 52.0 0.052680257829372
s7c2 withoutLoc 216_7 13.0 0.05268025782900208
s7c2 withoutLoc 216_8 13.0 0.05268025782937858
s7c2 withoutLoc 216_9 91.0 4.605170185988091
s7c2 withoutLoc 75_1 74.0 1.107821241834089
s7c5 withoutLoc 115_3 70.0 0.05268025782891314
s7c5 withoutLoc 159_8 114.0 1.2599807888645225
s7c5 withoutLoc 166_6 51.0 0.5531533675583908
s7c5 withoutLoc 173_5 58.0 0.14874035610052974
s7c5 withoutLoc 186_2 185.0 0.12475979062082808
s7c5 withoutLoc 205_10 46.0 0.05268025782891314
s7c5 withoutLoc 207_8 41.0 0.05268025782891314
s7c5 withoutLoc 208_10 49.0 0.7023238479225454
s7c5 withoutLoc 210_7 44.0 0.14704448685791408
s7c5 withoutLoc 215_6 42.0 0.1891368958325192
s7c5 withoutLoc 216_10 9.0 0.7001073935939016
s7c5 withoutLoc 216_11 9.0 0.7001438803634715
s7c5 withoutLoc 216_12 8.0 0.05268025782891314
s7c5 withoutLoc 216_13 8.0 0.05268025782891314
s7c5 withoutLoc 216_14 11.0 0.6945679553433142
s7c5 withoutLoc 216_15 11.0 0.05268025782891314
s7c5 withoutLoc 216_3 30.0 0.13570846456540012
s7c5 withoutLoc 216_4 30.0 0.05268025782891314
s7c5 withoutLoc 216_5 43.0 0.19261013841964636
s7c5 withoutLoc 216_6 1.0 0.22664615445550568
s7c5 withoutLoc 216_7 1.0 0.05268025782891314
s7c5 withoutLoc 216_8 6.0 4.605170185988091
s7c5 withoutLoc 216_9 6.0 0.5574743408362328
s7c5 withoutLoc 45_2 44.0 0.2432217712291501
s7c5 withoutLoc virtual 0 0.09621194466283424
